customer_id,age,region,preferred_channel,monthly_transactions_avg,avg_monthly_balance,num_products_held,digital_adoption_score,credit_card_issued,loan_taken,Age_group,Balance_Category,month,monthly_transactions,Month_Name,Active Customer
CUST100007,56,South,ATM,23,37632,2,0.52,0,0,46-60,Medium,01-01-2022,15,January,Yes
CUST100007,56,South,ATM,23,37632,2,0.52,0,0,46-60,Medium,01-02-2022,12,February,No
CUST100007,56,South,ATM,23,37632,2,0.52,0,0,46-60,Medium,01-03-2022,20,March,Yes
CUST100007,56,South,ATM,23,37632,2,0.52,0,0,46-60,Medium,01-04-2022,21,April,Yes
CUST100007,56,South,ATM,23,37632,2,0.52,0,0,46-60,Medium,01-05-2022,19,May,Yes
CUST100007,56,South,ATM,23,37632,2,0.52,0,0,46-60,Medium,01-06-2022,18,June,Yes
CUST100007,56,South,ATM,23,37632,2,0.52,0,0,46-60,Medium,01-07-2022,19,July,Yes
CUST100007,56,South,ATM,23,37632,2,0.52,0,0,46-60,Medium,01-08-2022,22,August,Yes
CUST100007,56,South,ATM,23,37632,2,0.52,0,0,46-60,Medium,01-09-2022,14,September,No
CUST100007,56,South,ATM,23,37632,2,0.52,0,0,46-60,Medium,01-10-2022,12,October,No
CUST100007,56,South,ATM,23,37632,2,0.52,0,0,46-60,Medium,01-11-2022,11,November,No
CUST100007,56,South,ATM,23,37632,2,0.52,0,0,46-60,Medium,01-12-2022,8,December,No
CUST100007,56,South,ATM,23,37632,2,0.52,0,0,46-60,Medium,01-01-2023,13,January,No
CUST100007,56,South,ATM,23,37632,2,0.52,0,0,46-60,Medium,01-02-2023,9,February,No
CUST100007,56,South,ATM,23,37632,2,0.52,0,0,46-60,Medium,01-03-2023,10,March,No
CUST100007,56,South,ATM,23,37632,2,0.52,0,0,46-60,Medium,01-04-2023,14,April,No
CUST100007,56,South,ATM,23,37632,2,0.52,0,0,46-60,Medium,01-05-2023,20,May,Yes
CUST100007,56,South,ATM,23,37632,2,0.52,0,0,46-60,Medium,01-06-2023,20,June,Yes
CUST100007,56,South,ATM,23,37632,2,0.52,0,0,46-60,Medium,01-07-2023,19,July,Yes
CUST100007,56,South,ATM,23,37632,2,0.52,0,0,46-60,Medium,01-08-2023,20,August,Yes
CUST100007,56,South,ATM,23,37632,2,0.52,0,0,46-60,Medium,01-09-2023,19,September,Yes
CUST100007,56,South,ATM,23,37632,2,0.52,0,0,46-60,Medium,01-10-2023,18,October,Yes
CUST100007,56,South,ATM,23,37632,2,0.52,0,0,46-60,Medium,01-11-2023,17,November,Yes
CUST100007,56,South,ATM,23,37632,2,0.52,0,0,46-60,Medium,01-12-2023,17,December,Yes
CUST100013,53,East,ATM,20,67020,2,0.03,0,1,46-60,High,01-01-2022,16,January,Yes
CUST100013,53,East,ATM,20,67020,2,0.03,0,1,46-60,High,01-02-2022,20,February,Yes
CUST100013,53,East,ATM,20,67020,2,0.03,0,1,46-60,High,01-03-2022,18,March,Yes
CUST100013,53,East,ATM,20,67020,2,0.03,0,1,46-60,High,01-04-2022,21,April,Yes
CUST100013,53,East,ATM,20,67020,2,0.03,0,1,46-60,High,01-05-2022,22,May,Yes
CUST100013,53,East,ATM,20,67020,2,0.03,0,1,46-60,High,01-06-2022,18,June,Yes
CUST100013,53,East,ATM,20,67020,2,0.03,0,1,46-60,High,01-07-2022,22,July,Yes
CUST100013,53,East,ATM,20,67020,2,0.03,0,1,46-60,High,01-08-2022,18,August,Yes
CUST100013,53,East,ATM,20,67020,2,0.03,0,1,46-60,High,01-09-2022,18,September,Yes
CUST100013,53,East,ATM,20,67020,2,0.03,0,1,46-60,High,01-10-2022,14,October,No
CUST100013,53,East,ATM,20,67020,2,0.03,0,1,46-60,High,01-11-2022,11,November,No
CUST100013,53,East,ATM,20,67020,2,0.03,0,1,46-60,High,01-12-2022,14,December,No
CUST100013,53,East,ATM,20,67020,2,0.03,0,1,46-60,High,01-01-2023,12,January,No
CUST100013,53,East,ATM,20,67020,2,0.03,0,1,46-60,High,01-02-2023,13,February,No
CUST100013,53,East,ATM,20,67020,2,0.03,0,1,46-60,High,01-03-2023,16,March,Yes
CUST100013,53,East,ATM,20,67020,2,0.03,0,1,46-60,High,01-04-2023,17,April,Yes
CUST100013,53,East,ATM,20,67020,2,0.03,0,1,46-60,High,01-05-2023,18,May,Yes
CUST100013,53,East,ATM,20,67020,2,0.03,0,1,46-60,High,01-06-2023,17,June,Yes
CUST100013,53,East,ATM,20,67020,2,0.03,0,1,46-60,High,01-07-2023,20,July,Yes
CUST100013,53,East,ATM,20,67020,2,0.03,0,1,46-60,High,01-08-2023,22,August,Yes
CUST100013,53,East,ATM,20,67020,2,0.03,0,1,46-60,High,01-09-2023,22,September,Yes
CUST100013,53,East,ATM,20,67020,2,0.03,0,1,46-60,High,01-10-2023,24,October,Yes
CUST100013,53,East,ATM,20,67020,2,0.03,0,1,46-60,High,01-11-2023,24,November,Yes
CUST100013,53,East,ATM,20,67020,2,0.03,0,1,46-60,High,01-12-2023,17,December,Yes
CUST100018,19,Central,Online Banking,25,45567,3,0.95,0,1,18-30,Medium,01-01-2022,28,January,Yes
CUST100018,19,Central,Online Banking,25,45567,3,0.95,0,1,18-30,Medium,01-02-2022,28,February,Yes
CUST100018,19,Central,Online Banking,25,45567,3,0.95,0,1,18-30,Medium,01-03-2022,33,March,Yes
CUST100018,19,Central,Online Banking,25,45567,3,0.95,0,1,18-30,Medium,01-04-2022,34,April,Yes
CUST100018,19,Central,Online Banking,25,45567,3,0.95,0,1,18-30,Medium,01-05-2022,34,May,Yes
CUST100018,19,Central,Online Banking,25,45567,3,0.95,0,1,18-30,Medium,01-06-2022,36,June,Yes
CUST100018,19,Central,Online Banking,25,45567,3,0.95,0,1,18-30,Medium,01-07-2022,32,July,Yes
CUST100018,19,Central,Online Banking,25,45567,3,0.95,0,1,18-30,Medium,01-08-2022,34,August,Yes
CUST100018,19,Central,Online Banking,25,45567,3,0.95,0,1,18-30,Medium,01-09-2022,30,September,Yes
CUST100018,19,Central,Online Banking,25,45567,3,0.95,0,1,18-30,Medium,01-10-2022,28,October,Yes
CUST100018,19,Central,Online Banking,25,45567,3,0.95,0,1,18-30,Medium,01-11-2022,25,November,Yes
CUST100018,19,Central,Online Banking,25,45567,3,0.95,0,1,18-30,Medium,01-12-2022,23,December,Yes
CUST100018,19,Central,Online Banking,25,45567,3,0.95,0,1,18-30,Medium,01-01-2023,22,January,Yes
CUST100018,19,Central,Online Banking,25,45567,3,0.95,0,1,18-30,Medium,01-02-2023,25,February,Yes
CUST100018,19,Central,Online Banking,25,45567,3,0.95,0,1,18-30,Medium,01-03-2023,28,March,Yes
CUST100018,19,Central,Online Banking,25,45567,3,0.95,0,1,18-30,Medium,01-04-2023,27,April,Yes
CUST100018,19,Central,Online Banking,25,45567,3,0.95,0,1,18-30,Medium,01-05-2023,29,May,Yes
CUST100018,19,Central,Online Banking,25,45567,3,0.95,0,1,18-30,Medium,01-06-2023,30,June,Yes
CUST100018,19,Central,Online Banking,25,45567,3,0.95,0,1,18-30,Medium,01-07-2023,34,July,Yes
CUST100018,19,Central,Online Banking,25,45567,3,0.95,0,1,18-30,Medium,01-08-2023,31,August,Yes
CUST100018,19,Central,Online Banking,25,45567,3,0.95,0,1,18-30,Medium,01-09-2023,34,September,Yes
CUST100018,19,Central,Online Banking,25,45567,3,0.95,0,1,18-30,Medium,01-10-2023,33,October,Yes
CUST100018,19,Central,Online Banking,25,45567,3,0.95,0,1,18-30,Medium,01-11-2023,30,November,Yes
CUST100018,19,Central,Online Banking,25,45567,3,0.95,0,1,18-30,Medium,01-12-2023,31,December,Yes
CUST100025,50,North,Branch,15,42920,1,0.62,1,0,46-60,Medium,01-01-2022,27,January,Yes
CUST100025,50,North,Branch,15,42920,1,0.62,1,0,46-60,Medium,01-02-2022,31,February,Yes
CUST100025,50,North,Branch,15,42920,1,0.62,1,0,46-60,Medium,01-03-2022,34,March,Yes
CUST100025,50,North,Branch,15,42920,1,0.62,1,0,46-60,Medium,01-04-2022,37,April,Yes
CUST100025,50,North,Branch,15,42920,1,0.62,1,0,46-60,Medium,01-05-2022,35,May,Yes
CUST100025,50,North,Branch,15,42920,1,0.62,1,0,46-60,Medium,01-06-2022,32,June,Yes
CUST100025,50,North,Branch,15,42920,1,0.62,1,0,46-60,Medium,01-07-2022,31,July,Yes
CUST100025,50,North,Branch,15,42920,1,0.62,1,0,46-60,Medium,01-08-2022,31,August,Yes
CUST100025,50,North,Branch,15,42920,1,0.62,1,0,46-60,Medium,01-09-2022,25,September,Yes
CUST100025,50,North,Branch,15,42920,1,0.62,1,0,46-60,Medium,01-10-2022,29,October,Yes
CUST100025,50,North,Branch,15,42920,1,0.62,1,0,46-60,Medium,01-11-2022,23,November,Yes
CUST100025,50,North,Branch,15,42920,1,0.62,1,0,46-60,Medium,01-12-2022,26,December,Yes
CUST100025,50,North,Branch,15,42920,1,0.62,1,0,46-60,Medium,01-01-2023,26,January,Yes
CUST100025,50,North,Branch,15,42920,1,0.62,1,0,46-60,Medium,01-02-2023,31,February,Yes
CUST100025,50,North,Branch,15,42920,1,0.62,1,0,46-60,Medium,01-03-2023,25,March,Yes
CUST100025,50,North,Branch,15,42920,1,0.62,1,0,46-60,Medium,01-04-2023,27,April,Yes
CUST100025,50,North,Branch,15,42920,1,0.62,1,0,46-60,Medium,01-05-2023,29,May,Yes
CUST100025,50,North,Branch,15,42920,1,0.62,1,0,46-60,Medium,01-06-2023,32,June,Yes
